R_G^2, alpha^2, N (big fragment), # edges (b.f), avg. R_g^2 (s.f), avg. alpha^2 (s.f), avg. mass (s.f), # small fragments
0.414954, 103.18, 100, 199, 0, 0, 0, 0
0.419062, 102.117, 100, 198, 0, 0, 0, 0
0.423171, 101.058, 100, 197, 0, 0, 0, 0
0.427322, 100.001, 100, 196, 0, 0, 0, 0
0.431506, 98.9773, 100, 195, 0, 0, 0, 0
0.435733, 98.0196, 100, 194, 0, 0, 0, 0
0.439885, 96.9834, 100, 193, 0, 0, 0, 0
0.444043, 95.9254, 100, 192, 0, 0, 0, 0
0.448624, 95.0445, 100, 191, 0, 0, 0, 0
0.452787, 94.0107, 100, 190, 0, 0, 0, 0
0.457201, 92.8385, 100, 189, 0, 0, 0, 0
0.463543, 91.6865, 100, 188, 0, 0, 0, 0
0.470793, 90.0493, 100, 187, 0, 0, 0, 0
0.475703, 88.7561, 100, 186, 0, 0, 0, 0
0.481998, 87.6693, 100, 185, 0, 0, 0, 0
0.488577, 86.8583, 100, 184, 0, 0, 0, 0
0.50605, 84.8434, 100, 183, 0, 0, 0, 0
0.510781, 83.8944, 100, 182, 0, 0, 0, 0
0.517202, 82.7105, 100, 181, 0, 0, 0, 0
0.521824, 81.8407, 100, 180, 0, 0, 0, 0
0.529896, 80.8509, 100, 179, 0, 0, 0, 0
0.534498, 79.9922, 100, 178, 0, 0, 0, 0
0.539237, 79.2004, 100, 177, 0, 0, 0, 0
0.543981, 78.4781, 100, 176, 0, 0, 0, 0
0.55119, 77.5479, 100, 175, 0, 0, 0, 0
0.555857, 76.6873, 100, 174, 0, 0, 0, 0
0.560572, 75.5863, 100, 173, 0, 0, 0, 0
0.565389, 74.561, 100, 172, 0, 0, 0, 0
0.571144, 73.4193, 100, 171, 0, 0, 0, 0
0.576563, 72.851, 100, 170, 0, 0, 0, 0
0.589616, 71.64, 100, 169, 0, 0, 0, 0
0.596623, 70.4775, 100, 168, 0, 0, 0, 0
0.601933, 69.8187, 100, 167, 0, 0, 0, 0
0.611961, 69.0771, 100, 166, 0, 0, 0, 0
0.617289, 68.1887, 100, 165, 0, 0, 0, 0
0.625773, 67.2087, 100, 164, 0, 0, 0, 0
0.63158, 66.3106, 100, 163, 0, 0, 0, 0
0.640536, 66.0122, 100, 162, 0, 0, 0, 0
0.64929, 65.2228, 100, 161, 0, 0, 0, 0
0.661478, 63.7673, 100, 160, 0, 0, 0, 0
0.673976, 62.268, 100, 159, 0, 0, 0, 0
0.684059, 61.3217, 100, 158, 0, 0, 0, 0
0.693038, 60.2589, 100, 157, 0, 0, 0, 0
0.69789, 59.3714, 100, 156, 0.0, 0.0, 1.0, 1
0.683949, 59.7997, 99, 155, 0.0, 0.0, 1.0, 1
0.703574, 58.5517, 99, 154, 0.0, 0.0, 1.0, 1
0.725, 58.2878, 99, 153, 0.0, 0.0, 1.0, 1
0.737089, 56.7543, 99, 152, 0.0, 0.0, 1.0, 1
0.749701, 55.6809, 99, 151, 0.0, 0.0, 1.0, 1
0.771398, 54.8896, 99, 150, 0.0, 0.0, 1.0, 1
0.801249, 55.155, 99, 149, 0.0, 0.0, 1.0, 1
0.838776, 53.0155, 99, 148, 0.0, 0.0, 1.0, 1
0.854533, 52.6228, 99, 147, 0.0, 0.0, 1.0, 1
0.869879, 52.0099, 99, 146, 0.0, 0.0, 1.0, 1
0.886624, 50.9951, 99, 145, 0.0, 0.0, 1.0, 1
0.906268, 50.0448, 99, 144, 0.0, 0.0, 1.0, 1
0.916245, 49.0081, 99, 143, 0.0, 0.0, 1.0, 1
0.94063, 47.5734, 99, 141, 0.125, 0.3299225, 1.5, 2
0.902629, 48.2853, 97, 140, 0.125, 0.3299225, 1.5, 2
0.918257, 47.1837, 97, 139, 0.125, 0.3299225, 1.5, 2
0.959558, 46.8597, 97, 138, 0.125, 0.3299225, 1.5, 2
0.971849, 45.8102, 97, 137, 0.125, 0.3299225, 1.5, 2
0.993437, 45.5212, 97, 136, 0.0833333333333, 0.219948333333, 1.33333333333, 3
0.980329, 45.4319, 96, 135, 0.0833333333333, 0.219948333333, 1.33333333333, 3
0.992138, 44.4587, 96, 134, 0.0833333333333, 0.219948333333, 1.33333333333, 3
1.05885, 44.0865, 96, 133, 0.0833333333333, 0.219948333333, 1.33333333333, 3
1.0789, 42.7514, 96, 132, 0.0833333333333, 0.219948333333, 1.33333333333, 3
1.18101, 44.6192, 96, 131, 0.0833333333333, 0.219948333333, 1.33333333333, 3
1.19426, 43.8153, 96, 130, 0.0833333333333, 0.219948333333, 1.33333333333, 3
1.25472, 41.6785, 96, 128, 0.125, 0.3299225, 1.5, 4
1.21156, 42.1608, 94, 127, 0.125, 0.3299225, 1.5, 4
1.23097, 41.3612, 94, 126, 0.125, 0.3299225, 1.5, 4
1.3168, 41.2058, 94, 125, 0.125, 0.3299225, 1.5, 4
1.34507, 39.6862, 94, 124, 0.125, 0.3299225, 1.5, 4
1.36589, 38.5023, 94, 123, 0.125, 0.3299225, 1.5, 4
1.4285, 37.6768, 94, 122, 0.125, 0.3299225, 1.5, 4
